graceid,ifos,end_time,end_time_ns,mass,mchirp,minimum_duration,snr,far,ifar,log_ifar
G344841,"L1,V1",1247845000.0,515625000.0,19.192375183105,3.40394282341,61.841478189812,6.2388515472412,1.0546827070357e-05,94815.24569703132,11.459685494901969
G367859,"H1,L1,V1",1268012505.0,611816407.0,3.9441266059875,1.5486531257629,234.14661113544,8.885089607183,5.0352082325844e-05,19860.15183103429,9.896470582637123
G347882,"H1,L1",1250511694.0,765625000.0,15.217726707458,5.8279948234558,29.159025884121,9.5078725814819,0.0001783437328413,5607.149654593125,8.63179778643863
G337675,"H1,L1",1246246065.0,157226562.0,22.584190368652,3.6945188045502,60.797054113605,7.2457551956177,0.0001771440729498,5645.122545437222,8.63854718501726
G337711,"H1,L1",1246273958.0,654785156.0,11.176190376282,4.6484203338623,39.876395432518,7.7598443031311,0.0001655118976486,6041.861728409561,8.706467476615163
G349924,"H1,L1",1252053581.0,822753906.0,101.40393829346,14.031951904297,6.1940306963259,6.160653591156,0.0001580696261953,6326.326088505384,8.75247494988222
G352070,"H1,L1",1253942634.0,624511718.0,10.459089279175,4.1248230934143,48.099032513653,6.6966814994812,0.0002480607654433,4031.270314806357,8.301836819863194
G369583,"H1,L1",1269170158.0,111328124.0,16.673900604248,6.9118251800537,20.370969185518,7.0012039045635,0.0001205212829518,8297.289702764336,9.023684198622671
G354083,"H1,L1",1257130885.0,796875000.0,33.741760253906,9.6099729537964,11.111270643216,7.2734637260437,0.0001983296242542,5042.11110044757,8.52558014250065
G363604,"H1,L1,V1",1265389347.0,494140625.0,69.327255249023,13.023336410522,6.6058943665158,7.3797035580291,0.0002194631815655,4556.572965299208,8.424326077261101
G345580,"H1,L1",1248620914.0,698242187.0,29.434993743896,7.1950449943542,16.701975780502,7.072093963623,0.0001569449523231,6371.660796973683,8.759615436244141
G364701,"H1,L1",1266196605.0,442871094.0,65.293029785156,9.4875946044922,9.5240280949067,7.2767027648946,0.0002786750264931,3588.4090963729777,8.185464234620321
G347719,"H1,L1",1250336686.0,296386718.0,14.532689094543,6.0170269012451,25.173049760725,6.3774671554565,0.0001155473510152,8654.460627728682,9.065830146515149
G368792,"H1,L1,V1",1268616280.0,719726562.0,26.903211593628,9.6019334793091,11.595378429206,9.0648848979651,2.6806716050487e-05,37304.0844733323,10.526858102943352
G334849,"H1,L1",1243420557.0,189453125.0,94.181449890137,12.796250343323,8.135410311245,5.8717555999756,0.0002724996302276,3669.72975032838,8.207873300824538
G336464,"H1,L1",1244789007.0,896484375.0,31.31071472168,13.212080001831,6.6092001511636,13.072584152222,5.6811906688381e-05,17601.943998906783,9.775764629409936
G356979,"H1,L1",1259969769.0,190917969.0,3.8650822639465,1.5899155139923,221.790221766,6.7356632160648,0.0002770845312625,3609.006953378294,8.19118793131821
